RNames	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width
R001	5.1	3.5	1.4	0.2
R002	4.9	3	1.4	0.2
R003	4.7	3.2	1.3	0.2
R004	4.6	3.1	1.5	0.2
R005	5	3.6	1.4	0.2
R006	5.4	3.9	1.7	0.4
R007	4.6	3.4	1.4	0.3
R008	5	3.4	1.5	0.2
R009	4.4	2.9	1.4	0.2
R010	4.9	3.1	1.5	0.1
R011	5.4	3.7	1.5	0.2
R012	4.8	3.4	1.6	0.2
R013	4.8	3	1.4	0.1
R014	4.3	3	1.1	0.1
R015	5.8	4	1.2	0.2
R016	5.7	4.4	1.5	0.4
R017	5.4	3.9	1.3	0.4
R018	5.1	3.5	1.4	0.3
R019	5.7	3.8	1.7	0.3
R020	5.1	3.8	1.5	0.3
R021	5.4	3.4	1.7	0.2
R022	5.1	3.7	1.5	0.4
R023	4.6	3.6	1	0.2
R024	5.1	3.3	1.7	0.5
R025	4.8	3.4	1.9	0.2
R026	5	3	1.6	0.2
R027	5	3.4	1.6	0.4
R028	5.2	3.5	1.5	0.2
R029	5.2	3.4	1.4	0.2
R030	4.7	3.2	1.6	0.2
R031	4.8	3.1	1.6	0.2
R032	5.4	3.4	1.5	0.4
R033	5.2	4.1	1.5	0.1
R034	5.5	4.2	1.4	0.2
R035	4.9	3.1	1.5	0.2
R036	5	3.2	1.2	0.2
R037	5.5	3.5	1.3	0.2
R038	4.9	3.6	1.4	0.1
R039	4.4	3	1.3	0.2
R040	5.1	3.4	1.5	0.2
R041	5	3.5	1.3	0.3
R042	4.5	2.3	1.3	0.3
R043	4.4	3.2	1.3	0.2
R044	5	3.5	1.6	0.6
R045	5.1	3.8	1.9	0.4
R046	4.8	3	1.4	0.3
R047	5.1	3.8	1.6	0.2
R048	4.6	3.2	1.4	0.2
R049	5.3	3.7	1.5	0.2
R050	5	3.3	1.4	0.2
R051	7	3.2	4.7	1.4
R052	6.4	3.2	4.5	1.5
R053	6.9	3.1	4.9	1.5
R054	5.5	2.3	4	1.3
R055	6.5	2.8	4.6	1.5
R056	5.7	2.8	4.5	1.3
R057	6.3	3.3	4.7	1.6
R058	4.9	2.4	3.3	1
R059	6.6	2.9	4.6	1.3
R060	5.2	2.7	3.9	1.4
R061	5	2	3.5	1
R062	5.9	3	4.2	1.5
R063	6	2.2	4	1
R064	6.1	2.9	4.7	1.4
R065	5.6	2.9	3.6	1.3
R066	6.7	3.1	4.4	1.4
R067	5.6	3	4.5	1.5
R068	5.8	2.7	4.1	1
R069	6.2	2.2	4.5	1.5
R070	5.6	2.5	3.9	1.1
R071	5.9	3.2	4.8	1.8
R072	6.1	2.8	4	1.3
R073	6.3	2.5	4.9	1.5
R074	6.1	2.8	4.7	1.2
R075	6.4	2.9	4.3	1.3
R076	6.6	3	4.4	1.4
R077	6.8	2.8	4.8	1.4
R078	6.7	3	5	1.7
R079	6	2.9	4.5	1.5
R080	5.7	2.6	3.5	1
R081	5.5	2.4	3.8	1.1
R082	5.5	2.4	3.7	1
R083	5.8	2.7	3.9	1.2
R084	6	2.7	5.1	1.6
R085	5.4	3	4.5	1.5
R086	6	3.4	4.5	1.6
R087	6.7	3.1	4.7	1.5
R088	6.3	2.3	4.4	1.3
R089	5.6	3	4.1	1.3
R090	5.5	2.5	4	1.3
R091	5.5	2.6	4.4	1.2
R092	6.1	3	4.6	1.4
R093	5.8	2.6	4	1.2
R094	5	2.3	3.3	1
R095	5.6	2.7	4.2	1.3
R096	5.7	3	4.2	1.2
R097	5.7	2.9	4.2	1.3
R098	6.2	2.9	4.3	1.3
R099	5.1	2.5	3	1.1
R100	5.7	2.8	4.1	1.3
R101	6.3	3.3	6	2.5
R102	5.8	2.7	5.1	1.9
R103	7.1	3	5.9	2.1
R104	6.3	2.9	5.6	1.8
R105	6.5	3	5.8	2.2
R106	7.6	3	6.6	2.1
R107	4.9	2.5	4.5	1.7
R108	7.3	2.9	6.3	1.8
R109	6.7	2.5	5.8	1.8
R110	7.2	3.6	6.1	2.5
R111	6.5	3.2	5.1	2
R112	6.4	2.7	5.3	1.9
R113	6.8	3	5.5	2.1
R114	5.7	2.5	5	2
R115	5.8	2.8	5.1	2.4
R116	6.4	3.2	5.3	2.3
R117	6.5	3	5.5	1.8
R118	7.7	3.8	6.7	2.2
R119	7.7	2.6	6.9	2.3
R120	6	2.2	5	1.5
R121	6.9	3.2	5.7	2.3
R122	5.6	2.8	4.9	2
R123	7.7	2.8	6.7	2
R124	6.3	2.7	4.9	1.8
R125	6.7	3.3	5.7	2.1
R126	7.2	3.2	6	1.8
R127	6.2	2.8	4.8	1.8
R128	6.1	3	4.9	1.8
R129	6.4	2.8	5.6	2.1
R130	7.2	3	5.8	1.6
R131	7.4	2.8	6.1	1.9
R132	7.9	3.8	6.4	2
R133	6.4	2.8	5.6	2.2
R134	6.3	2.8	5.1	1.5
R135	6.1	2.6	5.6	1.4
R136	7.7	3	6.1	2.3
R137	6.3	3.4	5.6	2.4
R138	6.4	3.1	5.5	1.8
R139	6	3	4.8	1.8
R140	6.9	3.1	5.4	2.1
R141	6.7	3.1	5.6	2.4
R142	6.9	3.1	5.1	2.3
R143	5.8	2.7	5.1	1.9
R144	6.8	3.2	5.9	2.3
R145	6.7	3.3	5.7	2.5
R146	6.7	3	5.2	2.3
R147	6.3	2.5	5	1.9
R148	6.5	3	5.2	2
R149	6.2	3.4	5.4	2.3
R150	5.9	3	5.1	1.8
